CODE ,DESCRIPTION,QTY,UNIT PRICE,DATE,TIME,TYPE,PAYMENT METHOD,TOTAL AMOUNT
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,14:10:32,Take Out,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,14:23:53,Take Out,QR Pay,9
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,14:31:30,Take Out,QR Pay,5
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,14:31:30,Take Out,QR Pay,9
7A,Honey Sauce Chicken,1,8,1/12/2024,14:31:30,Take Out,QR Pay,8
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,14:33:16,Dine In,QR Pay,8.5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,14:33:16,Dine In,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,1/12/2024,14:35:54,Take Out,QR Pay,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,14:38:04,Take Out,QR Pay,9.5
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,14:38:10,Take Out,QR Pay,5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,14:38:10,Take Out,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,14:39:05,Take Out,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,1/12/2024,14:39:05,Take Out,QR Pay,9
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,14:55:50,Take Out,QR Pay,9
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,14:55:50,Take Out,QR Pay,7
7B,Honey Sauce Fish,1,9,1/12/2024,14:55:50,Take Out,QR Pay,9
14,Cantonise Yi Mee,1,6.5,1/12/2024,14:59:07,Take Out,QR Pay,6.5
11A,Fried Chicken Roll (2 pcs),1,5,1/12/2024,14:59:07,Take Out,QR Pay,5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,14:59:07,Take Out,QR Pay,8
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,14:59:22,Take Out,QR Pay,8.5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,15:14:12,Take Out,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,15:17:20,Dine In,QR Pay,7
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,15:17:47,Dine In,Cash,5
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,15:18:51,Dine In,QR Pay,9
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,15:18:51,Dine In,QR Pay,6.5
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,15:18:51,Dine In,QR Pay,7
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,15:19:41,Dine In,Cash,8
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,15:19:41,Dine In,Cash,5
8A,Black Paper Sauce Chicken,1,8,1/12/2024,15:19:42,Dine In,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,15:19:42,Dine In,QR Pay,9
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,15:19:42,Dine In,QR Pay,7
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,15:20:14,Dine In,Cash,6.5
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,15:20:14,Dine In,Cash,8
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,15:20:14,Dine In,Cash,5
9,Teriyaki Sauce Duck,1,9,1/12/2024,15:22:21,Dine In,Cash,9
3B,Jin Xiang Sauce Fish,2,8,1/12/2024,15:22:21,Dine In,Cash,16
8A,Black Paper Sauce Chicken,1,8,1/12/2024,15:26:12,Dine In,Cash,8
9,Teriyaki Sauce Duck,1,9,1/12/2024,15:26:12,Dine In,Cash,9
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,15:26:12,Dine In,Cash,9
5A,Thai Patpet Sauce Chicken,1,8,1/12/2024,15:30:27,Dine In,QR Pay,8
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,15:30:27,Dine In,QR Pay,9
8B,Black Paper Sauce Fish,1,9,1/12/2024,15:49:25,Dine In,QR Pay,9
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,15:49:25,Dine In,QR Pay,9
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,15:49:25,Dine In,QR Pay,8
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,15:50:39,Take Out,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,15:50:39,Take Out,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,15:55:36,Take Out,QR Pay,6.5
11A,Fried Chicken Roll (2 pcs),1,5,1/12/2024,15:55:36,Take Out,QR Pay,5
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,15:56:53,Dine In,Cash,5
4B,Gong Bao Sauce Fish,1,8,1/12/2024,15:56:53,Dine In,Cash,8
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,15:56:53,Dine In,Cash,9
14,Cantonise Yi Mee,1,6.5,1/12/2024,15:59:59,Take Out,QR Pay,6.5
9,Teriyaki Sauce Duck,1,9,1/12/2024,15:59:59,Take Out,QR Pay,9
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,15:59:59,Take Out,QR Pay,5
8B,Black Paper Sauce Fish,1,9,1/12/2024,16:09,Take Out,QR Pay,9
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,16:09,Take Out,QR Pay,8
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,16:09,Take Out,QR Pay,8
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,16:11:53,Dine In,Cash,8
11,Fried Chicken Wan-Tan (5 pcs),1,5,1/12/2024,16:11:53,Dine In,Cash,5
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,16:12:08,Dine In,QR Pay,7
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,16:12:08,Dine In,QR Pay,5
8A,Black Paper Sauce Chicken,1,8,1/12/2024,16:14:15,Take Out,QR Pay,8
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,16:14:15,Take Out,QR Pay,5
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,16:14:15,Take Out,QR Pay,9
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,16:17:54,Take Out,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,16:18:51,Take Out,QR Pay,7
7A,Honey Sauce Chicken,1,8,1/12/2024,16:18:51,Take Out,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,16:21:55,Take Out,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,16:21:55,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,1/12/2024,16:21:55,Take Out,QR Pay,9
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,16:25:53,Dine In,QR Pay,9
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,1/12/2024,16:25:53,Dine In,QR Pay,6.5
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,16:25:53,Dine In,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,1/12/2024,16:27:21,Dine In,QR Pay,8
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,16:27:21,Dine In,QR Pay,8
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,16:27:21,Dine In,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,16:28:07,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,1/12/2024,16:28:07,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,16:28:42,Dine In,Cash,9.5
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,16:28:42,Dine In,Cash,8
7B,Honey Sauce Fish,1,9,1/12/2024,16:28:42,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,16:30:33,Dine In,Cash,9.5
11A,Fried Chicken Roll (2 pcs),1,5,1/12/2024,16:30:33,Dine In,Cash,5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,16:30:33,Dine In,Cash,8
9,Teriyaki Sauce Duck,1,9,1/12/2024,16:31:39,Dine In,Cash,9
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,16:31:39,Dine In,Cash,5
8B,Black Paper Sauce Fish,1,9,1/12/2024,16:34:18,Take Out,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,16:34:18,Take Out,QR Pay,9
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,16:35:13,Take Out,QR Pay,8
9,Teriyaki Sauce Duck,1,9,1/12/2024,16:35:13,Take Out,QR Pay,9
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,16:35:13,Take Out,QR Pay,5
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,16:36:42,Dine In,QR Pay,5
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,16:36:42,Dine In,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,1/12/2024,16:36:42,Dine In,QR Pay,8
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,16:38:24,Dine In,QR Pay,9.5
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,16:38:24,Dine In,QR Pay,7
7A,Honey Sauce Chicken,1,8,1/12/2024,16:38:24,Dine In,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,16:41:18,Dine In,QR Pay,9
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,16:41:18,Dine In,QR Pay,7
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,16:41:18,Dine In,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,16:42:13,Dine In,QR Pay,9
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,16:58:10,Dine In,Cash,9
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,17:01:54,Take Out,QR Pay,9
1A,Salt Egg Butter Milk Chicken,1,8,1/12/2024,17:02:57,Dine In,Cash,8
8B,Black Paper Sauce Fish,1,9,1/12/2024,17:02:57,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,1/12/2024,17:04:57,Take Out,QR Pay,9.5
9,Teriyaki Sauce Duck,1,9,1/12/2024,17:04:57,Take Out,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,17:04:57,Take Out,QR Pay,8
8B,Black Paper Sauce Fish,1,9,1/12/2024,17:06,Dine In,QR Pay,9
4A,Gong Bao Sauce Chicken,1,7,1/12/2024,17:06,Dine In,QR Pay,7
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,17:06,Dine In,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,1/12/2024,17:08:11,Take Out,QR Pay,5
7A,Honey Sauce Chicken,1,8,1/12/2024,17:08:11,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,1/12/2024,17:08:11,Take Out,QR Pay,9
3B,Jin Xiang Sauce Fish,2,8,1/12/2024,17:12:12,Take Out,QR Pay,16
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,17:12:12,Take Out,QR Pay,9
6B,Si Chuan Mala Sauce Fish,1,9,1/12/2024,17:12:23,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,1/12/2024,17:12:23,Take Out,QR Pay,9
2B,Sweet & Sour Sauce Fish,1,8,1/12/2024,17:17:17,Dine In,Cash,8
2A,Sweet & Sour Sauce Chicken,1,7,1/12/2024,17:18:58,Take Out,QR Pay,7
5B,Thai Patpet Sauce Fish,1,9,1/12/2024,17:18:58,Take Out,QR Pay,9
7A,Honey Sauce Chicken,1,8,1/12/2024,17:35:52,Dine In,Cash,8
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,17:37:33,Take Out,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,17:37:33,Take Out,QR Pay,5
5A,Thai Patpet Sauce Chicken,1,8,1/12/2024,17:37:33,Take Out,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,1/12/2024,17:40:26,Dine In,Cash,5
7A,Honey Sauce Chicken,1,8,1/12/2024,17:40:26,Dine In,Cash,8
1B,Salt Egg Butter Milk Fish,1,9,1/12/2024,17:42:29,Dine In,Cash,9
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,17:42:29,Dine In,Cash,7
1B,Salt Egg Butter Milk Fish,2,9,1/12/2024,17:44:25,Take Out,QR Pay,18
3A,Jin Xiang Sauce Chicken,1,7,1/12/2024,17:45:07,Take Out,QR Pay,7
3B,Jin Xiang Sauce Fish,1,8,1/12/2024,17:45:07,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,1/12/2024,17:45:07,Take Out,QR Pay,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,1/12/2024,17:46:24,Take Out,QR Pay,8.5
9M,Salt Egg Mala Sauce Duck,1,9,1/12/2024,17:49:14,Take Out,QR Pay,9
4B,Gong Bao Sauce Fish,1,8,1/12/2024,17:57:18,Dine In,Cash,8
9,Teriyaki Sauce Duck,1,9,2/12/2024,11:05:38,Dine In,QR Pay,9
4B,Gong Bao Sauce Fish,1,8,2/12/2024,11:05:38,Dine In,QR Pay,8
14,Cantonise Yi Mee,1,6.5,2/12/2024,11:13:26,Take Out,QR Pay,6.5
11B,Fried Fish Ball (7 pcs),1,5,2/12/2024,11:13:26,Take Out,QR Pay,5
5A,Thai Patpet Sauce Chicken,1,8,2/12/2024,11:15:43,Dine In,QR Pay,8
5B,Thai Patpet Sauce Fish,1,9,2/12/2024,11:15:43,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,2/12/2024,11:15:43,Dine In,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,2/12/2024,11:16:53,Take Out,QR Pay,5
1B,Salt Egg Butter Milk Fish,1,9,2/12/2024,11:20:07,Dine In,QR Pay,9
2A,Sweet & Sour Sauce Chicken,1,7,2/12/2024,11:20:07,Dine In,QR Pay,7
6A,Si Chuan Mala Sauce Chicken,1,8,2/12/2024,11:20:07,Dine In,QR Pay,8
11A,Fried Chicken Roll (2 pcs),1,5,2/12/2024,11:25:22,Dine In,QR Pay,5
8A,Black Paper Sauce Chicken,1,8,2/12/2024,11:31:08,Dine In,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,2/12/2024,11:34:19,Dine In,Cash,7
4A,Gong Bao Sauce Chicken,1,7,2/12/2024,11:34:19,Dine In,Cash,7
11,Fried Chicken Wan-Tan (5 pcs),1,5,2/12/2024,11:38:43,Take Out,QR Pay,5
6B,Si Chuan Mala Sauce Fish,1,9,2/12/2024,11:38:43,Take Out,QR Pay,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,2/12/2024,11:46:17,Take Out,QR Pay,9.5
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,2/12/2024,11:49:55,Take Out,QR Pay,6.5
6A,Si Chuan Mala Sauce Chicken,1,8,2/12/2024,11:49:55,Take Out,QR Pay,8
7A,Honey Sauce Chicken,1,8,2/12/2024,11:50:04,Dine In,QR Pay,8
7A,Honey Sauce Chicken,1,8,2/12/2024,11:53:16,Take Out,QR Pay,8
8B,Black Paper Sauce Fish,1,9,2/12/2024,11:58:19,Take Out,QR Pay,9
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,2/12/2024,11:58:19,Take Out,QR Pay,6.5
9B,Black Pepper Sauce Duck,1,9,2/12/2024,11:58:19,Take Out,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,2/12/2024,12:05:57,Take Out,QR Pay,8
6B,Si Chuan Mala Sauce Fish,1,9,2/12/2024,12:05:57,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,2/12/2024,12:06:58,Take Out,QR Pay,9
11B,Fried Fish Ball (7 pcs),2,5,2/12/2024,12:06:58,Take Out,QR Pay,10
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,2/12/2024,12:08:07,Take Out,QR Pay,9.5
9M,Salt Egg Mala Sauce Duck,1,9,2/12/2024,12:08:07,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,2/12/2024,12:08:07,Take Out,QR Pay,9
11A,Fried Chicken Roll (2 pcs),1,5,2/12/2024,12:08:15,Take Out,QR Pay,5
1B,Salt Egg Butter Milk Fish,1,9,2/12/2024,12:19:18,Dine In,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,2/12/2024,12:24:34,Dine In,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,2/12/2024,12:28:13,Dine In,Cash,6.5
3B,Jin Xiang Sauce Fish,1,8,2/12/2024,12:28:13,Dine In,Cash,8
11,Fried Chicken Wan-Tan (5 pcs),1,5,2/12/2024,12:28:13,Dine In,Cash,5
11,Fried Chicken Wan-Tan (5 pcs),1,5,2/12/2024,12:30:50,Dine In,Cash,5
1A,Salt Egg Butter Milk Chicken,1,8,2/12/2024,12:37:01,Dine In,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,2/12/2024,12:37:01,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,2/12/2024,12:37:01,Dine In,QR Pay,8
9,Teriyaki Sauce Duck,1,9,2/12/2024,12:37:36,Dine In,Cash,9
3A,Jin Xiang Sauce Chicken,1,7,2/12/2024,12:37:36,Dine In,Cash,7
11C,Fried Golden Fish Roll (2 pcs),1,5,2/12/2024,12:37:36,Dine In,Cash,5
4A,Gong Bao Sauce Chicken,1,7,2/12/2024,12:42:43,Dine In,QR Pay,7
11B,Fried Fish Ball (7 pcs),1,5,2/12/2024,12:42:43,Dine In,QR Pay,5
11,Fried Chicken Wan-Tan (5 pcs),1,5,2/12/2024,12:45,Dine In,QR Pay,5
11A,Fried Chicken Roll (2 pcs),1,5,2/12/2024,12:45,Dine In,QR Pay,5
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,2/12/2024,12:50:13,Dine In,QR Pay,6.5
7A,Honey Sauce Chicken,2,8,2/12/2024,12:50:13,Dine In,QR Pay,16
1A,Salt Egg Butter Milk Chicken,1,8,2/12/2024,12:52:30,Take Out,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,2/12/2024,12:52:30,Take Out,QR Pay,9
11A,Fried Chicken Roll (2 pcs),1,5,2/12/2024,12:53:24,Take Out,QR Pay,5
5A,Thai Patpet Sauce Chicken,1,8,2/12/2024,12:53:24,Take Out,QR Pay,8
